Series_reference,Period
BDCQ.SEA1AA,2011.06
BDCQ.SEA1AA,2011.09
BDCQ.SEA1AA,2011.12
BDCQ.SEA1AA,2012.03
BDCQ.SEA1AA,2012.06
BDCQ.SEA1AA,2012.09
BDCQ.SEA1AA,2012.12
BDCQ.SEA1AA,2013.03
BDCQ.SEA1AA,2013.06
BDCQ.SEA1AA,2013.09
BDCQ.SEA1AA,2013.12
BDCQ.SEA1AA,2014.03
BDCQ.SEA1AA,2014.06
BDCQ.SEA1AA,2014.09
BDCQ.SEA1AA,2014.12
BDCQ.SEA1AA,2015.03
BDCQ.SEA1AA,2015.06
BDCQ.SEA1AA,2015.09
BDCQ.SEA1AA,2015.12
BDCQ.SEA1AA,2016.03
BDCQ.SEA1AA,2016.06
BDCQ.SEA1AA,2016.09
BDCQ.SEA1AA,2016.12
BDCQ.SEA1AA,2017.03
BDCQ.SEA1AA,2017.06
BDCQ.SEA1AA,2017.09
BDCQ.SEA1AA,2017.12
BDCQ.SEA1AA,2018.03
BDCQ.SEA1AA,2018.06
BDCQ.SEA1AA,2018.09
BDCQ.SEA1AA,2018.12
BDCQ.SEA1AA,2019.03
BDCQ.SEA1AA,2019.06
BDCQ.SEA1AA,2019.09
BDCQ.SEA1AA,2019.12
BDCQ.SEA1AA,2020.03
BDCQ.SEA1AA,2020.06
BDCQ.SEA1AA,2020.09
BDCQ.SEA1AA,2020.12
BDCQ.SEA1AA,2021.03
BDCQ.SEA1AA,2021.06
BDCQ.SEA1AA,2021.09
BDCQ.SEA1AA,2021.12
BDCQ.SEA1AA,2022.03
BDCQ.SEA1AA,2022.06
BDCQ.SEA1AA,2022.09
BDCQ.SEA1AA,2022.12
BDCQ.SEA1AA,2023.03
BDCQ.SEA1AA,2023.06
BDCQ.SEA1AS,2011.06
BDCQ.SEA1AS,2011.09
BDCQ.SEA1AS,2011.12
BDCQ.SEA1AS,2012.03
BDCQ.SEA1AS,2012.06
BDCQ.SEA1AS,2012.09
BDCQ.SEA1AS,2012.12
BDCQ.SEA1AS,2013.03
BDCQ.SEA1AS,2013.06
BDCQ.SEA1AS,2013.09
BDCQ.SEA1AS,2013.12
BDCQ.SEA1AS,2014.03
BDCQ.SEA1AS,2014.06
BDCQ.SEA1AS,2014.09
BDCQ.SEA1AS,2014.12
BDCQ.SEA1AS,2015.03
BDCQ.SEA1AS,2015.06
BDCQ.SEA1AS,2015.09
BDCQ.SEA1AS,2015.12
BDCQ.SEA1AS,2016.03
BDCQ.SEA1AS,2016.06
BDCQ.SEA1AS,2016.09
BDCQ.SEA1AS,2016.12
BDCQ.SEA1AS,2017.03
BDCQ.SEA1AS,2017.06
BDCQ.SEA1AS,2017.09
BDCQ.SEA1AS,2017.12
BDCQ.SEA1AS,2018.03
BDCQ.SEA1AS,2018.06
BDCQ.SEA1AS,2018.09
BDCQ.SEA1AS,2018.12
BDCQ.SEA1AS,2019.03
BDCQ.SEA1AS,2019.06
BDCQ.SEA1AS,2019.09
BDCQ.SEA1AS,2019.12
BDCQ.SEA1AS,2020.03
BDCQ.SEA1AS,2020.06
BDCQ.SEA1AS,2020.09
BDCQ.SEA1AS,2020.12
BDCQ.SEA1AS,2021.03
BDCQ.SEA1AS,2021.06
BDCQ.SEA1AS,2021.09
BDCQ.SEA1AS,2021.12
BDCQ.SEA1AS,2022.03
BDCQ.SEA1AS,2022.06
BDCQ.SEA1AS,2022.09
BDCQ.SEA1AS,2022.12
BDCQ.SEA1AS,2023.03
BDCQ.SEA1AS,2023.06
BDCQ.SEA1AT,2011.06
BDCQ.SEA1AT,2011.09
